dep;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;moyenne_periode
12; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 2; 2; 0; 1; 0;  0;-2; 0;  0; -1;  1; -1; -2;  0; -1;  0; -1;  0;  0;  0;  0;  0; -1;  0; -1;  0;  0; 0,0
13; 9; 6; 7; 8;23;18; 0;15;13;14;25;35; 9;16; 7;20;  6; 9; 3; -5;  4; -5; 19; -3;  4;  2; -9; -6; -2; -7;-12;-16; 10;-17; -7;-10; -8; -6; 5,9
14; 0; 0; 2; 1; 2; 4; 4; 2; 5; 6; 4; 0; 4; 6; 5; 1;  4; 3; 5;  0; -2;  1;  1; -4; -4; -2; -6; -3;  0; -4; -2;  2; -1; -2; -3; -2;  0; -3; 0,9
15; 0; 0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 0; 1; 1; 1; 0;  0; 0; 0;  2;  0;  0; -1; -1;  0;  0;  2; -1;  0; -1;  0; -1;  1;  0; -1; -1; -1; -1; 0,2
16; 0; 0; 1; 2; 1; 0;-1; 0; 2; 0; 2; 1;-2; 1; 1;-1;  0;-1; 0; -1; -1;  0;  0;  3; -1;  0;  0; -1; -1;  0; -1;  0;  0;  0; -1;  0;  0;  0; 0,1
17; 0; 1; 1; 0; 2; 0; 0; 5; 2; 3; 5; 4;-1; 0; 1; 0;  0; 0; 1;  0; -2; -1; -2;  1; -1; -2;  1;  1; -2; -2;  2;  0;  0; -2; -1; -1; -1;  0; 0,4
18; 0; 0; 0; 0; 0; 2; 3; 1;-2; 4; 0; 4; 2; 1;-1;-1;  3; 0;-1;  2; -2; -2;  1;  1; -1;  0; -1;  0; -6; -3;  0;  0;  0;  0;  0;  0; -1;  3; 0,1
19; 0; 0; 0; 0; 1; 2; 1; 2; 0; 0; 1; 1;-1; 1; 0; 0; -1; 0; 1;  0;  1;  1;  0;  2;  0;  1; -1;  0;  0;  0; -1;  0;  2; -1; -2;  0;  0;  0; 0,4
21; 3;12;-1; 1; 3; 0; 8;-2; 2; 3; 3;-2;-6; 4;12; 6;  4;-1;11;  3; -5; -1;  6; -7;  0;  1;  0;  5;  3; -7;  3;-11; -1; -2;  0; -7; -2;  5; 1,4
22; 0;-1; 1; 0; 0; 1; 0; 2; 1; 0; 0; 0; 0; 0;11; 1;  0;-1; 1; -4;  0; -1; -1;  1;  0; -1; -1; -2;  0;  0; -1;  0;  0; -1;  0;  0;  0;  0; 0,1
